,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
4580,MINDJET LLC,D," 147,680",D,D
4978,ATACOM INC,D," 60,611",D,D
6325,ARTAX CONSULTING CORPORATION,D," 35,113",D,D
6648,INTERMUNE INC,D," 130,000",D,D
6785,MSI COMPUTER CORP,D," 41,600",D,D
7569,DANVILLE MONTESSORI SCHOOL,D," 48,000",D,D
2014,ALAMEDA HEALTH SYSTEM,D," 170,627",D,D
2268,INCLIN INC,D," 80,000",D,D
3834,NURUN SF INC,D," 150,000",D,D
4651,INTL ASSET SYSTEMS USA LTD,D," 110,000",D,D
4804,GROSSBARD & BOURZAT CORPORAT,D," 65,000",D,D
5207,LEVY ERLANGER & COMPANY CPAS,D," 60,000",D,D
7142,UNISEM SUNNYVALE INC,D," 55,786",D,D
8580,SINGAPORE TELECOM USA INC,D," 74,400",D,D
9988,NANOMIX INC,D," 65,416",D,D
0364,BAY AREA TECHWORKERS,D," 126,630",D,D
0421,N AMERICAN ADVANCED TECHNOLO,D," 59,136",D,D
0900,CARE2 COM INC,D," 69,000",D,D
1088,ASPIRE PUBLIC SCHOOLS,D," 60,462",D,D
1525,VECTOR CAPITAL,D," 150,000",D,D
4374,DESIGN WITHIN REACH INC,D," 80,000",D,D
4582,QUALITY EXCELLENCE FOR SUPPL,D," 250,000",D,D
6088,MZ FOUNDATION,D," 70,000",D,D
6294,SYNARC INC,D," 72,114",D,D
6613,NEXTAG INC,D," 75,000",D,D
6839,CAREDX INC,D," 72,720",D,D
6902,IGN ENTERTAINMENT INC A SUBS,D," 80,346",D,D
7322,DISCOVERX CORP,D," 70,000",D,D
7893,MEDICAL DEVICE RESOURCE CORP,D," 58,136",D,D
0698,SALESFORCE COM INC,D," 91,936",D,D
1067,RS INVESTMENT MGMT CO LLC,D," 140,000",D,D
1504,HAYNES BEFFEL & WOLFELD LLP,D," 110,000",D,D
7079,VMOKSHA TECHNOLOGIES INC,D," 73,445",D,D
7218,OSTERHOUT DESIGN GRP INC,D," 17,150",D,D
7390,BAYSPEC INC,D," 91,000",D,D
7794,JAPAN RELOCATION INC,D," 36,005",D,D
8979,LAND-RON INC,D," 65,000",D,D
9493,EES CORP DBA ENOVA ENGINEERI,D," 112,300",D,D
0868,SHUTTERFLY INC,D," 184,800",D,D
1151,PENGUIN COMPUTING INC,D," 110,000",D,D
1159,SPIRATION INC DBA OLYMPUS RE,D," 68,124",D,D
2997,GRYPHON ADVISORS LLC,D," 100,000",D,D
4442,MPI INC D/B/A MENLO PARK INN,D," 57,500",D,D
5860,HEADWATERS HOLDINGS LLC,D," 80,000",D,D
6925,QUORUM CONSULTING INC,D," 120,000",D,D
8019,SIERRA WIRELESS AMERICA INC,D," 117,500",D,D
9695,GROUP A AUTOSPORTS INC,D," 36,213",D,D
1075,ZEDO INC,D," 120,000",D,D
3649,DUCOMMUN AEROSTRUCTURES INC,D," 125,000",D,D
3814,CELSUS EXPORT LLC,D," 50,690",D,D
4002,INTL PETROLEUM PRODS & ADDIT,D," 68,000",D,D
4156,REDPOINT MANAGEMENT LLC,D," 125,000",D,D
8943,VABAD INC DBA CAREER ADVANCE,D," 38,800",D,D
9097,PATIENTSAFE SOLUTIONS INC,D," 110,000",D,D
9391,CHENBRO MICOM USA INC,D," 75,000",D,D
9604,PRAETORIAN GROUP INC,D," 55,000",D,D
1750,SANSOME PACIFIC PROPERTIES I,D," 27,872",D,D
2073,WEBALO INC,D," 105,000",D,D
3401,EQUILAR INC,D," 75,000",D,D
3424,SKIDATA INC,D," 65,000",D,D
3812,WINERY EXCHANGE INC,D," 110,000",D,D
6914,POWER STANDARDS LABORATORY I,D," 105,000",D,D
7019,VIATOR INC,D," 132,000",D,D
9646,HIREMOJO INC,D," 117,500",D,D
0550,MARYMOUNT GREENHILLS LLC,D," 65,707",D,D
2204,TELEPLAN HOLDING USA INC,D," 91,352",D,D
4615,LINDEN RESEARCH INC,D," 70,000",D,D
8316,DIGITAL STRATA INC,D," 14,000",D,D
8593,NEW PACIFIC DIRECT INC,D," 57,450",D,D
9550,METHOD PRODUCTS INC,D," 90,000",D,D
9894,WAVESTREAM CORP,D," 140,000",D,D
0688,EXPONENTIAL INTERACTIVE INC,D," 100,000",D,D
1209,EVAULT INC,D," 68,000",D,D
2700,CARBONFIVE INC,D," 125,000",D,D
2943,DESTINATIONRX INC DBA DRX,D," 65,000",D,D
4221,BUILD COM INC,D," 94,000",D,D
4459,SAPPHIRE AUTOMATION INC,D," 72,322",D,D
6271,ASCENT SERVICES GROUP,D," 156,000",D,D
6360,DIBON SOLUTIONS INC,D," 39,000",D,D
8406,ITECH PROJECT CONSULTING,D," 147,680",D,D
0156,IPSOFACACTO LLC,D," 57,689",D,D
0263,JUICE BEAUTY INC,D," 60,500",D,D
0562,ADDITIONAL TECH SECURITY INC,D," 39,166",D,D
0622,HOLMES CULLEY PARTNERSHIP,D," 72,500",D,D
0771,KIRUSA INC,D," 77,250",D,D
2001,WELLS FARGO FUNDS MANAGEMENT,D," 104,657",D,D
2014,CREATIVITY INC,D," 113,000",D,D
2458,NAUGHTY DOG INC,D," 95,000",D,D
2726,ALEXANDER DAWSON SCHOOL LLC,D," 43,500",D,D
4745,SPARK PUBLIC RELATIONS LLC,D," 125,000",D,D
5111,APACHE DESIGN INC,D," 147,500",D,D
5783,IDEUM INC,D," 50,000",D,D
6248,EXARI GROUP INC,D," 81,000",D,D
7219,CENTELLAX INC,D," 134,201",D,D
1208,TEMPCARE LLC DBA NURSING RES,D," 47,200",D,D
1625,ALPHADETAIL INC,D," 77,000",D,D
2714,STEVEN GROVER & ASSO,D," 52,000",D,D
3574,4LEAF INC,D," 74,090",D,D
6256,PROTEINSIMPLE,D," 120,000",D,D
7034,HAVAS WORLDWIDE SAN FRANCISC,D," 75,000",D,D
7175,SEGA NETWORKS INC DBA THREE,D," 132,307",D,D
7213,SEQUOIA BENEFITS & INSURANCE,D," 70,000",D,D
7785,GORDON & BETTY MOORE FDN,D," 162,100",D,D
8954,TOM LEADER STUDIO,D," 58,261",D,D
9277,HOLTEK SEMICONDUCTOR USA INC,D," 39,000",D,D
0697,REPLY INC,D," 105,000",D,D
1449,SMIC AMERICAS,D," 86,472",D,D
4225,ENSENTA CORPORATION,D," 117,371",D,D
6068,THINKSMART DATA SVCS LLC,D," 90,000",D,D
6617,TANG & LEE LLP,D," 51,859",D,D
7518,JM INFORMATION INC,D," 63,000",D,D
8243,VETTANNA LLC,D," 99,600",D,D
9466,JP ACCOUNTANCY LLP,D, 27,D,D
9596,THRESHOLD PHARMACEUTICALS IN,D," 120,000",D,D
9726,COREZON CORPORATION,D," 77,000",D,D
0486,LOGICEASE SOLUTIONS INC,D," 68,000",D,D
0939,AXIS ARCHITECTURE & DESIGN I,D," 50,000",D,D
1519,CARMEL PARTNERS INC,D," 105,000",D,D
1673,ACME BIOSCIENCE INC,D," 60,000",D,D
3350,TWIN HILL ACQUISITION COMPAN,D," 50,251",D,D
4117,FUSEGLOBAL PARTNERS INC,D," 105,600",D,D
4463,ALVERA REHAB ASSOCIATES INC,D," 72,000",D,D
5630,SUBSEA 7 US LLC,D," 74,360",D,D
7408,YUMA REHABILITATION HOSPITAL,D," 66,000",D,D
0110,MITCHELL MEDICAL INVESTORS L,D," 90,064",D,D
5860,DELMAR SYSTEMS INC,D," 110,000",D,D
0087,CONTRACTING SPECIALISTS INCO,D," 60,000",D,D
8450,METALOGIX SOFTWARE INC US,D," 53,000",D,D
8514,BECKMAN COULTER GENOMICS INC,D," 80,000",D,D
8940,FLOYD COUNTY PRODUCTIONS INC,D," 51,230",D,D
1153,ELLERY STREET PHARMACY INC D,D," 124,800",D,D
7940,BITTNER SHEN CONSULTING ENGI,D," 51,000",D,D
0237,ADB AIRFIELD SOLUTIONS LLC,D," 95,000",D,D
3389,MITAS ELECTRONICS LLC,D," 47,507",D,D
4661,VIGLINK INC,D," 196,000",D,D
6915,ALLIANCE MEDIA ARTS & ENTERT,D," 68,000",D,D
6721,INSIGHT INVESTMENTS LLC,D," 140,000",D,D
7968,SOGO & SEIBU CO LTD,D," 180,000",D,D
9492,ARIK AIR INTERNATIONAL USA L,D," 48,000",D,D
0184,151 BLEECKER LLC,D," 42,120",D,D
0669,DISTINCTIVE SYSTEMS INC,D," 75,000",D,D
5970,INSEAT SOLUTIONS LLC,D," 63,100",D,D
0235,THE MATHWORKS INC,D," 80,000",D,D
1436,VENDAVO INC,D," 89,100",D,D
1940,DIRECTV LLC,D," 100,000",D,D
5419,JC HORIZON LTD,D, 29,D,D
1598,EYEXAM OF CALIFORNIA INC,D," 67,163",D,D
0417,CITY & COUNTY OF SAN FRANCIS,D," 76,440",D,D
0509,CONTRA COSTA COUNTY,D," 101,960",D,D
0533,COUNTY OF SANTA CLARA SANTA,D," 187,200",D,D
0630,FEDERAL HOME LOAN BANK OF SA,D," 110,000",D,D
2186,COLLEGE OF THE REDWOODS,D," 67,907",D,D
2388,EMPIRE UNION SCHOOL DIST,D," 64,006",D,D
0274,BARTON HEALTH,D," 83,096",D,D
8843,SUTTER VISITING NURSE ASSOCI,D," 108,160",D,D
0882,TAMALPA INSTITUTE,D," 56,243",D,D
7237,SMITH KETTLEWELL EYE RESEARC,D," 86,905",D,D
5772,AMERICAN CONSERVATORY THEATR,D," 75,000",D,D
3901,JUSTIC INVESTORS LP HILTON S,D," 85,000",D,D
4384,UNION WAY CORP,D," 150,000",D,D
3280,ACADEMY OF MOTION PICTURE AR,D," 85,000",D,D
9600,BIOLA UNIVERSITY,D," 58,286",D,D
7220,CALPORTLAND CO,D," 110,000",D,D
5250,UNIFIED GROCERS INC,D," 124,000",D,D
5980,DUNN EDWARDS CORP,D," 75,000",D,D
8589,HUTCHINSON & BLOODGOOD LLP,D," 50,003",D,D
2750,WESTERN OILFIELDS SUPPLY DBA,D," 92,500",D,D
9272,AMERICAN GEM SOCIETY,D," 80,340",D,D
9684,BERGELECTRIC CORP,D," 100,048",D,D
2659,OLTMANS CONSTRUCTION COMPANY,D," 120,000",D,D
6986,THE GILL CORPORATION,D," 52,000",D,D
9841,THE LAGUNA PLAYHOUSE,D," 61,200",D,D
6435,DECURION MANAGEMENT CO,D," 129,500",D,D
0412,UNIV COOPERATIVE HOUSING ASS,D," 59,000",D,D
5123,ACCO ENGINEERED SYSTEMS INC,D," 65,000",D,D
8554,COAST CITRUS DISTRIBUTORS IN,D," 70,000",D,D
4364,PROCOPIO CORY HARGREAVES & S,D," 160,000",D,D
4019,HARVARD WESTLAKE SCHOOL,D," 51,800",D,D
4035,POINT LOMA NAZARENE UNIV,D," 84,588",D,D
4048,WHITTIER COLLEGE,D," 63,000",D,D
8219,ZOOLOGICAL SOCIETY OF SAN DI,D," 50,877",D,D
1089,SAN DIEGO CTR FOR CHILDREN,D," 38,254",D,D
4101,CLAREMONT MCKENNA COLLEGE,D," 55,440",D,D
4123,SCRIPPS COLLEGE,D," 71,500",D,D
4134,WESTLAND SCHOOL,D," 45,840",D,D
4089,SCRIPPS HEALTH,D," 79,726",D,D
1069,CASCADE PUMP CO,D," 65,000",D,D
6734,UNIVERSAL MOLDING COMPANY,D," 83,000",D,D
3946,BOBRICK WASHROOM EQUIPMENT I,D," 142,740",D,D
7440,GREEN HASSON JANKS,D," 58,000",D,D
9567,GKN AEROSPACE CHEM TRONICS I,D," 140,000",D,D
0067,CITY NATIONAL BANK,D," 127,200",D,D
0806,LOEB & LOEB LLP,D," 160,000",D,D
7918,WD 40 COMPANY,D," 67,933",D,D
7330,TELEFLEX MEDICAL INCORPORATE,D," 95,000",D,D
6306,MICROSEMI FREQUENCY & TIME C,D," 117,300",D,D
7289,PACIFIC ALLOY CASTING CO,D," 61,152",D,D
4489,ST MARY MEDICAL CTR,D," 75,650",D,D
6410,RICHARD BAGDASARIAN INC,D," 65,000",D,D
3102,AQUAFINE CORPORATION,D," 75,000",D,D
7958,TRADER JOE S COMPANY,D," 142,632",D,D
6255,MILLER KAPLAN ARASE LLP,D," 59,741",D,D
9518,DIODES INC,D," 86,300",D,D
2182,SIEMENS HEALTHCARE DIAGNOSTI,D," 137,514",D,D
2686,RIDGECREST REGIONAL HOSPITAL,D," 77,272",D,D
9835,BARTLETT PRINGLE & WOLF LLP,D," 62,000",D,D
7944,INFORMATIVE RESEARCH INC,D," 120,000",D,D
9682,INDUSTRIAL DYNAMICS COMPANY,D," 125,000",D,D
9345,LOUISVILLE HIGH SCHOOL,D," 54,000",D,D
0371,MICROSEMI CORP,D," 150,000",D,D
1054,TENET HEALTH SYSTEM MEDICAL,D," 200,000",D,D
3260,MARYMOUNT CA UNIV,D," 61,730",D,D
9307,BUENA VISTA INTL INC PART OF,D," 140,488",D,D
0365,MURCHISON & CUMMING LLP,D," 84,822",D,D
3806,DSI CORP,D," 79,581",D,D
9542,NOSSAMAN LLP,D," 275,000",D,D
3812,ARCADIA CONVALESCENT HOSP DB,D, 31,D,D
4067,MUSEUM ASSO DBA LOS ANGELES,D," 47,902",D,D
7091,C R LAURENCE CO INC,D," 72,100",D,D
2647,WHITE MEMORIAL MEDICAL CTR,D," 94,120",D,D
9916,JWCH INSTITUTE INC,D," 45,965",D,D
4476,PEKING NOODLE CO INC,D," 55,000",D,D
8345,ERNIE BALL INC,D," 70,096",D,D
6931,HANSON RESEARCH CORPORATION,D," 45,989",D,D
2961,ELECTRO RENT CORPORATION,D," 123,600",D,D
3113,BRIGGS ELECTRIC INC,D," 53,456",D,D
4764,CAL POLY POMONA FOUNDATION I,D," 55,000",D,D
1137,CANOGA PERKINS,D," 54,413",D,D
6603,MARVIN ENGINEERING CO INC,D," 90,000",D,D
4094,BAL SEAL ENGINEERING INC,D," 73,000",D,D
4902,SAGE PUBLICATIONS INC,D," 86,050",D,D
1914,SIERRA MONITOR CORPORATION,D," 80,000",D,D
3722,MANSON WESTERN CORP D B A WE,D," 81,250",D,D
0434,SUSS MICROTEC PHOTONIC SYSTE,D," 120,000",D,D
2236,PROTECTIVE LIFE INSURANCE CO,D," 87,000",D,D
1387,THE COLBURN SCHOOL,D," 45,800",D,D
5124,THERMAL ENGINEERING INTL USA,D," 120,000",D,D
7973,REBAR ENGINEERING INC,D," 47,840",D,D
4330,NMB TECHNOLOGIES CORP,D," 76,856",D,D
8958,SYSTRAN SOFTWARE INC,D," 130,354",D,D
5893,FARMERS INSURANCE EXCHANGE,D," 103,000",D,D
8194,MEE INDUSTRIES INC,D," 64,376",D,D
0952,AIRBUS DS COMMUNICATIONS INC,D," 84,000",D,D
8380,HOCHMAN SALKIN RETTIG TOSCHE,D," 144,000",D,D
8754,ENGILITY CORPORATION,D," 56,617",D,D
4729,SUPERIOR INDUSTRIES INTL INC,D," 57,000",D,D
4690,CSI TECHNOLOGIES INC,D," 65,828",D,D
3765,PENNY LANE CENTERS,D," 64,500",D,D
9647,OAKDELL EGG FARMS INC,D," 59,122",D,D
1210,REFORMATION LUTHERAN CHURCH,D," 45,700",D,D
3612,CLAY LACY AVIATION,D," 65,000",D,D
6662,MEDIABRANDS WORLDWIDE INC,D," 45,000",D,D
1433,OPEN DOOR COMMUNITY HLTH CEN,D," 180,000",D,D
1075,OCEANSIDE UNIFIED SCHOOL DIS,D," 73,319",D,D
7862,MAHAR MFG CORP DBA FIESTA CO,D," 40,000",D,D
6855,RICON CORP,D," 64,376",D,D
9232,INSURANCE CO OF THE WEST,D," 96,275",D,D
1605,ELLS CERTIFIED PUBLIC ACCOUN,D," 73,000",D,D
4055,MAGTEK INC,D," 80,000",D,D
6179,WEI CHUAN U S A INC,D," 33,804",D,D
0647,NTS TECHNICAL SYSTEMS A CA C,D," 75,171",D,D
6163,WOODBURY UNIV,D," 67,373",D,D
1326,REPUBLIC INDEMNITY COMPANY O,D," 142,800",D,D
0095,ALTAMED HEALTH SVCS CORP,D," 53,560",D,D
9506,KYOCERA DOCUMENT SOLNS AMERI,D," 85,000",D,D
2446,STEVE BUBALO CONSTRUCTION CO,D," 58,000",D,D
3111,DICKSON TESTING CO INC,D," 83,200",D,D
4107,ROBINSON HELICOPTER COMPANY,D," 74,170",D,D
8286,LIEBERMAN RESEARCH WORLDWIDE,D," 80,000",D,D
4414,NISSIN INTL TRANSPORT U S A,D," 74,550",D,D
4684,WESTFIELD HYDRAULICS INC,D," 70,000",D,D
0599,HYSPAN PRECISION PRODUCTS IN,D," 90,000",D,D
4070,DHF TECHNICAL PRODUCTS LLC,D," 72,000",D,D
4041,THE CENTER ORANGE COUNTY,D," 43,491",D,D
4490,CITIZEN WATCH CO OF AMERICA,D," 125,000",D,D
9008,JOONG ANG DAILY NEWS CA INC,D," 38,459",D,D
9422,HYDRANAUTICS,D," 62,224",D,D
4038,MEDATA INC,D," 95,000",D,D
9601,OLE HENRIKSEN OF DENMARK INC,D," 145,000",D,D
5753,HYDRAULICS INTERNATIONAL INC,D," 69,000",D,D
8062,MEADE INSTRUMENTS CORP,D," 65,000",D,D
5386,CONCORD EXPRESS INC,D," 45,000",D,D
5320,MILKY WAY INTL TRADING CORP,D," 42,000",D,D
9495,YAMAHA MOTOR CORP U S A,D," 130,000",D,D
3082,EDRO ENGINEERING INC,D," 58,000",D,D
6597,SWETT & CRAWFORD,D," 84,490",D,D
7400,JACQUES BOULANGER INC DBA JB,D," 48,000",D,D
0596,NA WORLD SERVICES INC,D," 38,459",D,D
4703,EUROCRAFT ARCHITECTURAL META,D," 108,000",D,D
9182,BROWN ARMSTRONG ACCOUNTANCY,D," 86,400",D,D
3103,HUNSAKER & ASSO IRVINE INC,D," 63,336",D,D
4016,THE HILL PARTNERSHIP INC,D," 82,000",D,D
1239,WORD & BROWN INSURANCE ADMIN,D," 133,424",D,D
2392,ROBERT D STEWART CORP D/B/A,D," 119,345",D,D
1013,MICROSEMI CORP POWER MGMT GR,D," 83,865",D,D
2116,WORLD VISION INTL,D," 89,760",D,D
9988,TEE TOP OF CALIFORNIA INC,D," 40,243",D,D
3320,ARTISTS GUILD OF AMERICA,D," 34,445",D,D
6106,RIVULIS IRRIGATION INC,D," 132,500",D,D
1520,CONTINENTAL COATINGS INC,D," 45,000",D,D
2415,AON RISK INSURANCE SVCS WEST,D," 90,000",D,D
9441,CONTROL AIR CONDITIONING COR,D," 63,710",D,D
2077,PACIFIC ENGINEERS GROUP,D," 73,236",D,D
2317,SERVICE MAILERS INC,D," 54,600",D,D
5524,VALLEY TUMOR MEDICAL GROUP I,D," 400,000",D,D
5679,THE ELIZABETH HOSPICE INC,D," 50,000",D,D
9086,NDO AMERICA INC,D," 53,477",D,D
8054,WRIGHT FORD YOUNG & CO,D," 51,000",D,D
5625,GIFFORD FONG ASSOCIATES,D," 120,650",D,D
3403,CLEARFREIGHT INC,D," 58,989",D,D
0487,DURHAM SCHOOL SERVICES LP,D," 124,500",D,D
0244,PRIME LINE PRODUCTS,D," 130,861",D,D
4210,SILVER VALLEY UNIFIED SCH DI,D," 68,359",D,D
4768,UNITED FRUITS CALIF CORP,D," 100,464",D,D
5919,BECKMAN RESEARCH INSTITUTE O,D," 44,783",D,D
9541,RBZ LLP,D," 52,000",D,D
0406,ANTELOPE VLY NEUROSCIENCE ME,D," 150,000",D,D
1196,FAKOURI ELECTRICAL ENGINEERI,D," 72,010",D,D
0388,VENUS GROUP INC,D," 64,800",D,D
3626,RABOBANK N A,D," 105,000",D,D
5819,RADIOGRAPHIC EQUIPMENT SERVI,D," 110,000",D,D
7218,TED TOKIO TANAKA ARCHITECTS,D," 85,000",D,D
8301,RITZ TOURS INC,D," 34,944",D,D
8097,DESIGNWORKSUSA INC,D," 77,000",D,D
8417,PACIOLAN INC,D," 85,627",D,D
6345,PATAGONIA INC,D," 140,000",D,D
7983,COAST PRECISION ENTERPRISES,D," 114,400",D,D
8772,SOUTH BAYLO UNIVERSITY,D," 35,000",D,D
0018,HUY FONG FOODS INC,D," 96,000",D,D
1121,PUBLIC STORAGE,D," 165,000",D,D
2990,HIROSE ELECTRIC U S A INC,D," 110,000",D,D
9690,FUJI ELECTRONICS AMERICA INC,D," 48,360",D,D
7895,LOS ANGELES LGBT CENTER,D," 90,000",D,D
6486,GRUMA CORPORATION,D," 71,000",D,D
0197,DATA EXCHANGE CORP,D," 71,989",D,D
5402,NATL TELECONSULTANTS INC,D," 123,600",D,D
9335,CALIFORNIA OFFSET PRINTERS I,D," 90,000",D,D
4536,DELTA TOUR & TRAVEL SERVICE,D," 27,820",D,D
5309,ALLEN MATKINS LECK GAMBLE MA,D," 145,000",D,D
0632,ZEIN E OBAGI M D INC,D," 48,027",D,D
6574,EVER WIN INTL CORP,D," 38,000",D,D
2494,CAR SOUND EXHAUST SYSTEM INC,D," 65,124",D,D
3131,CONTROL COMPONENTS INC,D," 79,100",D,D
4565,HERBALIFE INTL OF AMERICA IN,D," 105,000",D,D
4669,ZIMMER DENTAL INC,D," 94,291",D,D
9870,THE MAT WEST COMPANY,D," 100,000",D,D
9936,EPT DESIGN INC,D," 45,760",D,D
0638,DATA INFO MGMT SYSTEMS LLC,D," 100,000",D,D
4813,MIDCOM A DIVISION OF HKA ENT,D," 124,800",D,D
7491,PINNACLE ENTERTAINMENT INC,D," 89,636",D,D
9673,GLORY GLOBAL SOLUTIONS INC,D," 70,658",D,D
6820,SANTEC INC,D," 50,000",D,D
8034,MACPHERSON OIL CO,D," 87,550",D,D
7983,RICHARD A FISHER A LAW CORPO,D," 85,000",D,D
7358,JALUX AMERICAS INC,D," 39,500",D,D
7699,HARRIS FREEMAN & CO INC,D," 65,000",D,D
2468,CORDOBA CORPORATION,D," 115,000",D,D
2157,U S JACLEAN INC,D," 72,000",D,D
0980,BLUE CROSS OF CALIFORNIA,D," 84,132",D,D
3501,BEVERLY ORTHOPEDIC LAB INC,D," 110,000",D,D
5816,TOYOTA MOTOR CREDIT CORP TMC,D," 120,000",D,D
9389,KOREATOWN YOUTH & COMMUNITY,D," 44,000",D,D
7039,CHINESE OVERSEAS MKTG SVCS C,D, 27,D,D
8316,HSU YIM LEUNG & KOO LLP,D," 53,186",D,D
7580,CALLAWAY GOLF CO,D," 89,190",D,D
3663,DES DAWN CORP DBA TAXCO,D," 49,296",D,D
5596,TECHNOLOGY INTEGRATION GRP,D," 85,850",D,D
6037,SCAN GRP,D," 75,421",D,D
1881,METAGENICS INC,D," 76,654",D,D
2068,RED BOARD PRODUCTIONS INC,D," 54,500",D,D
8577,LEE KUM KEE USA INC,D," 55,000",D,D
3525,HENROB CORP,D," 63,000",D,D
6768,EYE SURGERY CTR OF SOUTHERN,D," 48,000",D,D
1305,SOFTWARE MANAGMENT CONSULTAN,D," 135,200",D,D
9308,APF TRAVEL INC,D," 34,190",D,D
2678,SOUTH COAST PEDIATRICS,D," 150,000",D,D
2901,PADI WORLDWIDE CORP,D," 106,000",D,D
8716,PTSI MANAGED SERVICES INC,D," 81,473",D,D
9014,COASTAL COUNTING & INDUSTRIA,D," 55,931",D,D
6162,PICO DIGITAL INC FORMERLY PI,D," 75,000",D,D
2950,GOODHOPE BAGS INDUSTRIES INC,D," 35,400",D,D
9672,SOKA UNIV OF AMERICA,D," 83,000",D,D
9400,LENLYN LTD DBA ICE CURRENCY,D," 48,027",D,D
0548,MSC SVC CO D/B/A MORLEY BUIL,D," 65,000",D,D
2584,PALMDALE VETERINARY HOSP,D," 64,000",D,D
9830,PACIFIC BEST INC,D," 46,800",D,D
5823,INTERIOR ARCHITECTS INC,D," 70,000",D,D
7157,SANG B KANG DBA S GLENDORA A,D," 42,064",D,D
7396,MERRICK ENGINEERING INC,D," 102,726",D,D
5017,BBC WORLDWIDE AMERICAS INC,D," 48,224",D,D
9310,HEPPS PRESCRIPTION PHARMACY,D," 49,608",D,D
9785,ACC CONTRACTORS INC,D," 44,200",D,D
4928,SIMON WIESENTHAL CENTER INC,D," 31,200",D,D
1085,SEIZMIC INC,D," 47,000",D,D
4993,EASTLAND CORPORATION DBA C&H,D," 32,500",D,D
7774,MALIBU WELLNESS INC,D," 57,000",D,D
2712,B J D INC,D," 65,000",D,D
3742,LAMP INC DBA LAMP COMMUNITY,D," 45,000",D,D
1114,MIDWAY INTERNATIONAL INC,D," 20,000",D,D
4687,KAO & KAO CERTIFIED PUBLIC A,D," 48,027",D,D
5748,VOLUME DISTRIBUTORS INC,D," 55,000",D,D
5783,VOLUME DISTRIBUTORS INC,D," 55,000",D,D
5799,MACHINERY SOLUTIONS INC,D," 40,872",D,D
1169,ARCADIA INC,D," 35,000",D,D
4569,MICHAEL H LESTER CPA,D," 48,027",D,D
1268,LAW OFFICES OF JAMES S HONG,D," 41,621",D,D
6751,KATZ CASSIDY,D," 57,000",D,D
8555,GEN NETWORKS CORP,D," 90,561",D,D
1399,AMERICAN RENOLIT CORP LA,D," 87,000",D,D
1909,ITO INC DBA KIKKA SUSHI,D," 50,956",D,D
2554,CONTINENTAL DATAGRAPHICS A D,D," 98,000",D,D
2593,JONATHON P REUBEN CPA AN ACC,D," 48,027",D,D
3263,ULTIMATE FORMULATIONS D/B/A,D," 60,000",D,D
7758,ST JOHN S WELL CHILD & FAMIL,D," 170,000",D,D
7830,EXPRESS LINE CORPORATION,D," 36,088",D,D
0924,TSP ASSO INC,D," 49,920",D,D
6948,LA AGENCIA DE ORCI & ASSO,D," 108,000",D,D
0116,COASTAL FRONTIERS CORP,D," 72,000",D,D
3718,LAW OFFICES OF MICHAEL I BRO,D," 30,000",D,D
4013,D/T CARSON ENTERPRISES INC,D," 58,718",D,D
4156,INTERNATIONAL EZ UP INC,D," 35,040",D,D
8197,ATLANTIC REPRESENTATIONS INC,D," 39,333",D,D
4508,POLITICAL DATA INC,D," 125,000",D,D
6480,SUMISHO COMPUTER SYSTEMS USA,D," 42,041",D,D
4955,NATIONAL TECHNICAL SYSTEMS I,D," 90,000",D,D
6601,TOTAL TRANSPORTATION CONCEPT,D," 54,000",D,D
7527,VENICE INVESTMENTS A CA GEN,D," 27,206",D,D
4796,LINE 6 INC,D," 69,742",D,D
5283,BABY TREND INC,D," 43,000",D,D
6414,GLASER WEIL FINK HOWARD AVCH,D," 185,000",D,D
6825,CRYSTAL CRUISES INC,D," 107,100",D,D
9111,INTERFRESH INC,D," 80,000",D,D
0468,GLOBE EXPRESS SERVICES LIMIT,D," 55,000",D,D
6217,SAMSUNG SDI AMERICA INC,D," 103,000",D,D
6335,AEROSPACE SVC & CONTROLS INC,D," 83,000",D,D
8444,DECRON PROPERTIES CORP,D," 58,000",D,D
2359,COLOREDGE INC,D," 71,000",D,D
0883,CAPSTONE TURBINE CORP,D," 71,802",D,D
7317,COOPER MOSS RENSICK KLEIN &,D," 64,600",D,D
0804,BREMBO NORTH AMERICA INC,D," 68,000",D,D
0713,UNITECH AMERICA INC,D," 58,490",D,D
5099,THE PENINSULA BEVERLY HILLS,D," 61,817",D,D
7483,APPLIED INFOTECH SYSTEM INC,D," 27,622",D,D
1286,TENTEK INC,D," 115,000",D,D
5371,CALIFORNIA MEDICAL INNOVATIO,D," 43,950",D,D
5937,DMF INC D/B/A DMF LIGHTING,D," 47,200",D,D
