,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
,,,,Bachelor's,D
,,,,Doctorate,92
,,,,Master's,16
,,,,Professional,D
0640,CAPITAL ONE NATIONAL ASSOCIA,116," 97,323",Bachelor's,D
,,,,Doctorate,15
,,,,Master's,92
6802,DELL MARKETING LP,116," 106,508",Bachelor's,53
,,,,Doctorate,D
,,,,Master's,62
1537,UNIV OF WA,116," 75,540",Bachelor's,D
,,,,Doctorate,95
,,,,Master's,D
,,,,Professional,15
9518,DB GLOBAL TECHNOLOGIES INC,115," 98,115",Missing Education,D
,,,,Bachelor's,67
,,,,Master's,47
3611,WA UNIV IN ST LOUIS,114," 66,753",Bachelor's,D
,,,,Doctorate,74
,,,,Master's,15
,,,,Professional,20
2394,UNIV OF SOUTHERN CA,114," 95,678",Bachelor's,D
,,,,Doctorate,75
,,,,Master's,22
,,,,Professional,12
8669,MARVELL SEMICONDUCTOR INC,113," 101,633",Bachelor's,12
,,,,Doctorate,11
,,,,Master's,90
5526,APPLIED MATERIALS INC,113," 105,870",Bachelor's,24
,,,,Doctorate,34
,,,,Master's,54
,,,,Professional,D
9517,BROCADE COMMUNICATIONS SYS I,112," 120,146",Bachelor's,37
,,,,Doctorate,D
,,,,Master's,73
,,,,Some College,D
0555,UNIV OF CO,112," 62,822",Bachelor's,D
,,,,Doctorate,74
,,,,Master's,24
,,,,Professional,D
,,,,Some College,D
6270,BAHA IND CORP DBA OPEN SYSS,111," 134,143",Bachelor's,63
,,,,Doctorate,D
,,,,Master's,47
