"Approved H-2B Cap-Subject Beneficiaries by Employer Fiscal Year 2017


",,,,
"Source: USCIS, data as of October 31, 2017.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. A dash represents zero. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition.",,,,
Employer Tax Number (Last 4 Digits),Employer Name,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under the Cap
6753,SYLVAN GARDENS LLC,D,-,D
1789,JLS JOSE LAWN SERVICES LLC,-,D,D
6695,PAULS GREEN ACRES LAWN SVC DBA GRE,D,-,D
8521,OASIS LANDSCAPE & IRRIGATION,D,-,D
8849,DELAURO BROTHERS LANDSCAPING LLC,D,-,D
4868,COLORADO OUTDOOR LIVING & LANDSCAP,D,-,D
6517,GILLILAND LANDSCAPE LLC,D,-,D
6790,RONNIES RESTAURANTS INC DBA FAT RO,-,D,D
2483,E & M GOLF CONSTRUCTION LLC,D,-,D
9649,BAKER GROUNDS CARE LLC DBA THE GRO,D,-,D
7427,THE GARDENER INC,D,-,D
5339,WICHO & SONS LLC,D,-,D
6794,DEGROOT CONCRETE & CONSTRUCTION LL,D,-,D
4142,HONEY COVE LAWN CARE LLC,D,-,D
262,RAIN-TEC LLC,D,-,D
3693,BROKRAM INC D/B/A ELITE EXTERIORS,D,-,D
2082,STATE CONSTRUCTION LLC,D,-,D
3769,REGINA TREYBIG DBA BUDDYS SEAFOOD,D,-,D
4843,HD LANDSCAPE LLC,D,-,D
8451,M&A SEAFOOD LLC,D,-,D
4338,H AND H CONSTRUCTION LLC,-,D,D
1016,GATEWAY TREE CARE LLC,D,-,D
9857,HDZ LANDSCAPE,D,-,D
7874,GREEN TECH LANDSCAPE LLC,D,-,D
3375,CUT & GROW LAWN SERVICES LLC,D,-,D
7218,NATURE S FINEST LANDSCAPING GROUP,D,-,D
7032,DISTINCTIVE OUTDOOR SPACES LLC,D,-,D
1241,RONNYS MARKET INC DBA RONNYS GARDE,D,-,D
8334,ROGER SUMMERS LAWN CARE INC,D,-,D
89,GSL LANDSCAPING AND NURSERY LLC,-,D,D
2784,KINGSDENE NURSERIES INC,D,-,D
1815,CEDAR RIDGE LANDSCAPE INC,D,-,D
4269,TURF CONNECTION INC,D,-,D
5118,MEAD TREE & TURF CARE INC,-,D,D
9556,GOVERNORS LAND FOUNDATION,D,-,D
7319,KALKREUTH ROOFING & SHEET METAL IN,D,-,D
8515,HEATH LANDSCAPING INC,D,-,D
5493,PROFESSIONAL GROUNDS MGT INC,D,-,D
4576,EMPIRE PAVING LLC,D,-,D
380,DESTIN FIRE CONTROL DISTRICT,D,-,D
1878,ROSE HILL FARM,D,-,D
3612,SEASONS EAST LAWN CARE,D,-,D
9342,S SEAS HOTEL CORP DBA PEQUOT HOTEL,D,-,D
2455,KATHLEEN OCONNELL RACING STABLE,D,-,D
9500,BROKEN WHEEL FARM LLC DBA THE PURP,D,-,D
300,OAKBOURNE COUNTRY CLUB INC,D,-,D
613,CEMETERY SERVICES INC,D,-,D
1336,WHITEVILLE RICE COMPANY,-,D,D
2652,FRIDAY S HISTORIC INN II LLC DBA E,D,-,D
9355,WILCO GUTTERING CO INC,D,-,D
4815,THE EXTERIOR DECORATOR,D,-,D
3336,CARLOS LAWN SERVICES A LLC,D,-,D
1848,RAINMAKER SPRINKLER COMPANY INC,D,-,D
9891,MORTON CONCESSIONS INC,D,-,D
6447,GARY L MARTIN DBA LOG COUNTRY COVE,D,-,D
4173,PAUL JONES DBA LAWNSCAPES OF TEXAS,D,-,D
4785,MADIGAN HOMES INC,D,-,D
5063,SUDDERTH BROTHERS CONTRACTING INC,-,D,D
8752,AQUATIC FEATURES INC,D,-,D
1344,H & H DESIGN AND BUILD INC,D,-,D
4167,BONICK LANDSCAPING INC,D,-,D
2402,VINCES LOGS & LIMBS,D,-,D
9248,RUSTY ALLEN,-,D,D
9633,LANDSCAPES BY AURELINDO,D,-,D
8546,MAW SPECIALIZED LAWN CARE SVCS INC,D,-,D
360,TOWN PUMP INC DBA TOWNHOUSE INN OF,D,-,D
5365,OUTPOST RESTAURANT INC,D,-,D
9535,MOORE OUTDOOR REJUVENATION INC DBA,D,-,D
8540,MCKANE CONTRACTING LLC,D,-,D
9631,PATRICIA ARRIAGA & JOSE L ARRIAGA,D,-,D
7894,CHAVEZ MASONRY LLC,D,-,D
3744,SOTOS LAWN SERVICE,D,-,D
5205,MORAN MOUNTAIN RESORTS DBA HATCHET,D,-,D
2152,WATTERSON FOOTINGS & FOUNDATIONS L,-,D,D
5030,CHRISTIE LODGE OWNER S ASSN DBA TH,D,-,D
2917,THE SLEEK GREEK,D,-,D
5244,SURE GREEN LAWN & TREE LLC,D,-,D
4769,J & J SERVICES,-,D,D
3057,GREEN THUMB COMMERCIAL GROUNDS MAI,D,-,D
2796,HESSCOR INC,D,-,D
2742,GREEN TREE LANDSCAPING INC,D,-,D
6455,WKB LANDSCAPE & MAINTENANCE INC,-,D,D
4364,SONOMA HORSE PARK,D,-,D
2858,MARK BONE / HUNTOVER,D,-,D
9427,RCM TECHNOLOGIES INC,D,-,D
4992,GHM KEY W SS LLC DBA SHERATON SUIT,D,-,D
937,DTS LLC D/B/A DUTCH TOTAL SOCCER,D,-,D
5347,GROUP 970 DBA BLUE MOOSE PIZZA,D,-,D
3359,VERMONT PREMIER SOCCER LLC,D,-,D
7237,WILLOUGHBY GOLF CLUB INC,D,-,D
1360,TETON CLUB OWNERS ASSN D/B/A TETON,D,-,D
9875,THE WINDOW BROTHERS INC,D,-,D
1237,FRANCISCO S LANDSCAPE & DESIGN LLC,D,-,D
1859,WENTWORTH BY THE SEA COUNTRY CLUB,D,-,D
6317,LAPOINTE LANDSCAPES LLC DBA RIVERS,D,-,D
8720,CELTIC ROOTS INC,D,-,D
9634,KLEIN SMOKED MEATS LLC,D,-,D
2364,DOUGLAS ISLAND DEVELOPMENT,-,D,D
986,EDGARTOWN COMMON CONDOMINIUM TRUST,D,-,D
2242,VRS INC DBA VAN RENSSELAERS RESTAU,D,-,D
4501,PONDEROSA NURSERIES INC,-,D,D
8740,HOLE IN 1 INC DBA FAIRWAY RESTAURA,D,-,D
9689,CROWN & ANCHOR INC,D,-,D
3092,ROCCO MACCHIA INC,D,-,D
4970,SHINNECOCK HILLS GOLF CLUB,D,-,D
383,STASI BROS ASPHALT CORP,D,-,D
3125,POOLTASTIC POOL WORK INC,D,-,D
9072,H&G HOME & GARDEN SVCS DBA LANDSCA,D,-,D
5085,RSLA INC,D,-,D
6384,RACHEL LYNCH SWIMMING POOL SVCS IN,D,-,D
7384,FAY HENDERSON LANDSCAPE DESIGN LLC,D,-,D
7406,J AND P POOL SERVICE,D,-,D
2064,FERTILAWN INC,D,-,D
9815,EAST COAST LANDSCAPING INC,D,-,D
6462,MACCHIA LANDSCAPING INC,D,-,D
7594,WESTCHESTER TREE LIFE INC,D,-,D
1943,PALOTTA LANDSCAPING INC,D,-,D
6568,LAKE GEORGE R V PARK INC,D,-,D
731,KINGDOM ROAD NURSERY,D,-,D
189,TOMAHAWK LANDSCAPING SERVICE LLC,D,-,D
7009,CUTTING EDGE LAWN CARE SVCS LLC,D,-,D
1064,CITYSCAPE DESIGN,D,-,D
7583,PEARL LANDSCAPING LLC,D,-,D
1806,PROFESSIONAL ESTATE CARE INC,D,-,D
688,JSM LAWNCARE INC,D,-,D
7988,CTR ST ACKQUISITION LLC DBA ROBERT,-,D,D
6292,H2O SPLASH IRRIGATION SYSTEM INC,-,D,D
3282,DOWNEY DRILLING,-,D,D
8497,BORESOW S LAWN ENFORCEMENT LLC,-,D,D
2213,MIAMI VALLEY CONCRETE LLC,D,-,D
3030,BEDOYA BROTHERS LANDSCAPING INC,D,-,D
1787,MONTANO TILE & COPING,D,-,D
9487,YELLOWSTONE LOG CHINKING,D,-,D
4233,VAN TRIEST LANDSCAPE LLC,D,-,D
982,MID WEST GUNITE LP,D,-,D
4949,SOUTHERN QUALITY LAWN CARE,D,-,D
9124,FEATHERSTON PARTNERS LLC DBA TEXAS,D,-,D
4697,TRIMLINE LAWN SERVICE LLC,D,-,D
2348,ROCHE LAWN SERVICE LLC,D,-,D
974,AARK ENTERPRISES INC,D,-,D
2082,HILLBIZON FARM,D,-,D
352,WEST SLOPE CONSTRUCTION INC,D,-,D
6164,GANGEMI LANDSCAPING CORP,D,-,D
6341,ROB PATON LANDSCAPING INC,D,-,D
389,CHRIS JAMES LANDSCAPING INC,D,-,D
352,VINTAGE FARM CORPORATION,-,D,D
299,ROBERT JOWDER CUSTOM LANDSCAPING,D,-,D
2540,TEXADA LANDSCAPE DESIGN INC,D,-,D
1507,IANNETTI GARDEN CTR INC DBA IANNET,D,-,D
7614,MIKES LANDSCAPING,D,-,D
716,TEAM GREEN OUTDOOR INC,-,D,D
9167,NORTHEAST LAWN SERVICE LLC,D,-,D
3169,LANDSCAPES LAWNS & BEYOND LLC,D,-,D
4407,INDIVIDUAL EMPLOYER,D,-,D
8121,RUSTIC SLATE ROOFING,D,-,D
2182,BELA S LANDSCAPING INC,D,-,D
1528,RANDOLPHS LAWN & LANDSCAPE MGT INC,D,-,D
2621,NANTUCKET GOLF MANAGEMENT INC,D,-,D
9510,ARTEMIO MUNOZ DBA MCBRIDE S NURSER,D,-,D
2141,DAVIDS YARD CARE,D,-,D
105,SPORTS TURF SPECIALISTS LLC,-,D,D
6152,LAYTONSVILLE TURF FARM LLC,D,-,D
8030,TITANIA CREW LTD,D,-,D
4988,HOOFPRINTS BLOODSTOCK LLC,D,-,D
5243,LANDSCAPES MGMT CO LLC,D,-,D
7476,MARTHAS VINEYARD COLONIAL INN DBA,D,-,D
9872,RAMOS LANDSCAPING LLC,-,D,D
4085,COWBOY KETTLE CORN,D,-,D
7365,CUTTING EDGE LAWN SERVICE,D,-,D
6383,TOTAL TURF & LANDSCAPE LLC,D,-,D
987,RADICAL ROOTS LANDSCAPING,D,-,D
2759,K&R LANDSCAPING LLC,D,-,D
3221,DALLAS STEWART RACING STABLE INC,D,-,D
1846,K U FORMING INC,D,-,D
6968,GREEN BLADE IRRIGATION & TURF CARE,D,-,D
332,VASQUEZ & COMPANY LLP,D,-,D
4695,GREEN GUYS INC,D,-,D
8886,BREEZEWOOD GARDEN CTR INC,D,-,D
5043,C CONTI LANDSCAPING & NURSERY INC,D,-,D
6893,CUSTOM CUT LANDSCAPE LLC,-,D,D
8259,BRIAN THOMPSON LANDSCAPING DBA TH,D,-,D
3303,WORKING WITH NATURE INC,D,-,D
4623,THE OHIO VALLEY GROUP INC,-,D,D
3876,INDIVIDUAL EMPLOYER,D,-,D
1262,BUTLER LANDSCAPING INC,D,-,D
2045,PRECISION GOLF CONSTRUCTION INC,D,-,D
3994,KOBELT INC,D,-,D
3829,EL NOPALITO INC,D,-,D
3025,THE STORAGE BUILDERS LLC,D,-,D
1362,GOOD TO GROW LANDSCAPING,D,-,D
1813,MIGUEL LANDSCAPING INC,D,-,D
8380,HOOSIER COMPANIES LLC DBA HOOSIER,D,-,D
8934,BALMORAL FARM INC,D,-,D
3039,SPRING LANDSCAPE CORPORATION,D,-,D
6060,CURTIS SOD & LANDSCAPING INC,D,-,D
4729,A 1 SNOW REMOVAL & LAWN CARE INC,-,D,D
2923,LILAC TREE INN INC,-,D,D
7457,SC LAWNSCAPE LLC,-,D,D
9816,MOTOR CITY BRICK PAVING & POWER WA,D,-,D
6022,JIM WHITING NURSERY & GARDEN CTR I,D,-,D
1856,RHINO BOBCAT & LANDSCAPE SVCS INC,D,-,D
4310,BEARPATH GOLF & COUNTRY CLUB LP,D,-,D
2495,SCENIC SPECIALTIES,D,-,D
3884,HAWKINS INDUSTRIES INC,D,-,D
3674,B & D LANDSCAPE INC,D,-,D
582,PROSCAPE PRO LANDSCAPING & MAINTEN,-,D,D
9657,JANSON LANDSCAPE SVCS INC,D,-,D
1170,MUNSCH OUTDOOR MAINTENANCE CO INC,D,-,D
4759,WEHDE LANDSCAPING & SOD FARM INC,D,-,D
230,NATURE S RE CREATIONS,D,-,D
7897,PAINTED WOODS RECREATION AREA,D,-,D
9641,GONZALEZ TRUCKING,D,-,D
1546,CABRERA LANDSCAPING,-,D,D
7815,GIANFRANCESCO LAWN SERVICE LLC,D,-,D
6387,COX CACTUS FARM LLC,-,D,D
9670,ROBERTO PANETTA LANDSCAPING INC,D,-,D
6960,D AND D CONSTRUCTION,D,-,D
190,FIESTA JALISCO MEXICAN RESTAURANT,D,-,D
4529,YOUDATH MULCH MAN INC,D,-,D
4961,CO MOUNTAIN LANDSCAPES LLC,D,-,D
6508,THE MONTAUK BEACH HOUSE,D,-,D
7677,OZ GARDENS LLC,D,-,D
3328,PRESTIGE LANDSCAPING LLC,D,-,D
3889,BLUE RIDGE PROPERTY SERVICES LLC,D,-,D
9520,SPEARFISH CANYON RESORTS LLC,-,D,D
9982,JJ CONCESSIONS LLC DBA JOHNNY ZEPP,D,-,D
4911,DEVILLES LAWN SERVICES II LLC,D,-,D
1061,JC LANDSCAPING & GENERAL LLC,D,-,D
732,PREMIER PROPERTY MAINTENANCE OF KC,D,-,D
5760,JASON PALMER CONSTRUCTION INC,D,-,D
2566,PREMIER REALTY SVCS LLC DBA VIVID,D,-,D
5509,TSMS TREE SERVICES LLC,-,D,D
116,WUERFEL RESORTS LLC DBA THE BEACH,D,-,D
6980,DINAND REAL ESTATE,-,D,D
2281,KING AND CO LANDSCAPE CONTRACTORS,D,-,D
2165,SEASIDE IRRIGATION INC,D,-,D
8616,ORNELAS LANDSCAPING,D,-,D
3367,NOVUS INC,D,-,D
4328,BRITISH ELITE LLC,D,-,D
417,VIC MV HOTEL LLC DBA HOB KNOB HOTE,D,-,D
7096,WILLIAM T KING INC,D,-,D
9817,LASTING IMPRESSIONS LANDSCAPE CONT,-,D,D
4631,AQUA-CLEAN POOLSERVICE INC,D,-,D
4812,BAMBOO FOREST ENTERPRISES LLC DBA,D,-,D
2873,SANCHEZ LANDSCAPING LLC,D,-,D
1389,SEALOR CORP DBA CHATHAM HIGHLANDER,D,-,D
8231,SOUTHERN LAND & GOLF CO LTD DBA TI,D,-,D
2219,LUNA LANDSCAPING CORPORATION,D,-,D
7972,TRAVIS HOSPITALITY INC,D,-,D
3392,LAWNS FOR LESS LANDSCAPING INC,D,-,D
5900,OAK HILL LAWN CARE & LANDSCAPING I,D,-,D
4107,BLUEGRASS DREAMSCAPES LLC,D,-,D
2742,MG CONSTRUCTION CO LLC,D,-,D
1944,INN ON THE SQ LLC DBA INN ON THE S,D,-,D
8246,THUNDERWASH PRESSURE WASHING INC,D,-,D
2743,GO DEVIL MANUFACTURES CO OF LOUISI,D,-,D
4815,PARADISE PLANTSCAPES INC,D,-,D
7422,LD TEBBEN COMPANY INC,-,D,D
8177,HELLER LANDSCAPES INC,D,-,D
809,TITUS WORKS LLC,D,-,D
3221,GT DEOLIVEIRA,D,-,D
3874,CL HOSPITALITY CORPORATION,D,-,D
9516,JDK ASSOCIATES INC,-,D,D
2160,GREENSCAPE COMPANIES INC,-,D,D
5426,VOGT LAWN CARE LLC,D,-,D
4527,ADVANTAGE CORP,D,-,D
9074,RAIN LILY DESIGN & LANDSCAPING LLC,D,-,D
7839,KLS CONCRETE INC,-,D,D
676,STAR FISH EAST INC DBA BETHS CAFE,D,-,D
615,WEST BRANCHES LANDSCAPE CO,D,-,D
9926,MIDDLEBEAR INC,-,D,D
2317,FAIR RIDE ENTERTAINMENT LLC,-,D,D
5821,LUTZ MANFREDI SHOWJUMPING LLC,D,-,D
766,SPECTACULARS INCORPORATED,D,-,D
1351,5 H IRRIGATION AND MAINTENANCE INC,D,-,D
5958,QUIN BLAIR ENTERPRISES INC,-,D,D
2853,CBV PARTNERS LLC DBA COWBOY VILLAG,-,D,D
1580,STEVE KOON LANDSCAPE & DESIGN INC,D,-,D
1861,B&J CONCESSIONS LLC DBA B&J CONCES,D,-,D
2122,TYM LLP D/B/A GRAND CANYON HOLIDAY,-,D,D
3354,TATUM TRAWLERS INC,-,D,D
7078,YORK RIVER LANDSCAPING,D,-,D
7546,DAVID DUGGAN RACING STABLE LLC,D,-,D
5781,HARBORSIDE INN CONDO TRUST,-,D,D
3920,FULL CIRCLE AG,D,D,D
7404,MATT S CUSTOM MEATS INC,D,-,D
759,9TH PARALLEL HEALTHCARE INC,D,-,D
8880,CORAL RIDGE GOLF COURSE INC DBA CO,D,-,D
4038,THE LOXAHATCHEE CLUB,D,-,D
5890,NIALL BRENNAN STABLES INC,D,-,D
3871,CRAWFISH HOLE INC,D,-,D
5770,BUDDYS SEAFOOD,D,-,D
5410,ANGELOTTA LANDSCAPE ASSO LLC,-,D,D
6755,C & C ATTRACTIONS,-,D,D
9041,STANMAR INC,-,D,D
3487,CHEZ MICHEL RESTAURANT,D,-,D
4003,EFH INC DBA CUTTY SARK MOTEL,D,-,D
5454,GREENHEAD LOBSTER LLC,-,D,D
3023,PRECISION LANDSCAPE & LAWN CARE IN,D,-,D
7265,ROOKER TRAINING STABLE,D,-,D
4900,NORTH AMERICA LANDSCAPING & IRRIGA,D,-,D
8226,MSCS LTD,D,-,D
2756,SOUTHERN DISTINCTION INC,D,-,D
3923,TIM ACTON LANDSCAPING,D,-,D
3761,P AND M REIS TRUCKING,-,D,D
4435,VORELLIS RESTAURANT INC,D,-,D
8914,ISLAND INN CORP DBA CENTURY HOUSE,D,-,D
3566,NORTH CHATHAM LANDSCAPE,D,-,D
67,TIMOTHY A HILLS INC,D,-,D
6873,MINGO CORP DBA THE MUSE,-,D,D
8147,THE COFFEE POT AND MORE INC,D,-,D
2667,THE RED INN AT PROVINCETOWN INC,D,-,D
488,NEW ENGLAND LAWN & SPRINKLER CO IN,D,-,D
8163,FISHACK CORP DBA JTS SEAFOOD RESTA,D,-,D
9626,GARDINERS BAY COUNTRY CLUB,D,-,D
1847,LA RONDE BEACH CLUB,D,-,D
6625,AGRI ORNAMENTALS INC,D,-,D
2842,PRO TOUCH GARDENS & LANDSCAPE INC,D,-,D
706,DGT INC,D,-,D
1045,ANDERSON CONTRACTORS LLC,D,-,D
1960,COUNTRY CLUB LAND & LAWN INC,D,-,D
5251,VIRGINIA HARDSCAPES INC,D,-,D
9636,THE THOMPSON HOUSE,D,-,D
8037,ER BAISLEY TREE & LANDSCAPE INC,D,-,D
1620,NORTHERN HOSPITALITY MGT LLC,-,D,D
3966,TWIN OAKS LAWN & LANDSCAPE INC,D,-,D
5187,BLOOMS RELAX LAWNSCAPING INC,D,-,D
581,ROUND MEADOW FARM LLC,D,-,D
3207,LAWNSCAPES OF SOUTHERN CHESTER COU,D,-,D
4657,MG BOEHM LANDSCAPING INC,D,-,D
5473,JARDINE QUALITY IRRIGATION INC D/B,D,-,D
5613,SKYLINE MOTOR INN LLC DBA RODEWAY,-,D,D
2202,GARY MURPHY EXCAVATING LLC,D,-,D
6740,KOROL MGMT GRP INC,-,D,D
985,CORNERSTONE LANDSCAPING INC,D,-,D
3547,CUTTING EDGE ESTATE CARE,-,D,D
2979,3 BEARS INC D/B/A BAR HARBOR MANOR,-,D,D
7207,PRO SCAPES UNLIMITED LLC,D,-,D
7832,FARINELLA NURSERY LANDSCAPE CONTRA,D,-,D
6487,RL LANDSCAPE & DESIGN INC,-,D,D
574,WELLER BROTHERS,D,-,D
3161,EXTERIOR SERVICES LLC,D,-,D
6672,EBENEZER YARD MATERIALS LLC,D,-,D
4016,SUPERIOR LANDSCAPING SOLUTIONS INC,D,-,D
6330,GOMEZ PINE STRAW LLC,-,D,D
7100,AMATOS NURSERY & LANDSCAPE CO INC,D,-,D
2479,MOORING INC,D,-,D
7741,J LIEBERMAN LANDSCAPING,D,-,D
9435,BURKE LAWN SERVICE,D,-,D
1477,ENVIRONMENTAL DESIGN ASSOCS INC,D,-,D
330,GRASSO LANDSCAPING INC,D,-,D
7904,AUBURN SKY LANDSCAPING LLC,D,-,D
8600,CREATIVE PAVERS INC,D,-,D
8708,MELE LANDSCAPE CONTRACTORS INC,D,-,D
7196,GTM LANDSCAPING INC,D,-,D
1647,EICHENLAUB INC,D,-,D
6522,HESS LANDSCAPE NURSERY INC,D,-,D
8501,BARGEE FARMS INC,D,-,D
6432,BERCIK LANDSCAPING INC,D,-,D
2602,STRUCTURAL GARDENS LLC,D,-,D
7280,OUTDOOR DESIGNS UNLIMITED,-,D,D
5987,DAKOTA RM CONSTRUCTION INC,D,-,D
2514,FAERYS GOLF AND LANDSCAPE,-,D,D
7704,BAKERS BAKERY & CAFE INC,D,-,D
5982,ALLAN DENNIS CONCESSIONS INC,D,-,D
6983,SGL CONTRACTORS LLC DBA SHAN-GRI-L,D,-,D
9700,DON TEQUILA MADISON LTD DBA DON TE,D,-,D
8904,ERD CONSTRUCTION INC,D,-,D
9408,AYO LLC DBA MI CAMINO REAL,D,-,D
5501,DINUZZO ASSOCIATES LTD,D,-,D
3613,BOSETTI LAWN CARE LLC,D,-,D
9412,SUNNYSIDE LAWN & LANDSCAPE,D,-,D
2887,ANGEL LANDSCAPE & MAINTENANCE INC,D,-,D
3975,HABANERO MEXICAN GRILL,-,D,D
8692,WEISS LANDSCAPING SERVICES LLC,-,D,D
877,SCHINDLER ENTERPRISES,D,-,D
9756,ANDREW ZEMAS LANDSCAPING,D,-,D
6296,MACKINAC CHOCOLATE CO LLC DBA SAND,-,D,D
8281,CARLOS CO LTD DBA DON TEQUILA REST,D,-,D
8013,SPRING CREEK NURSERY,-,D,D
9143,TURF PRO LLC,D,-,D
4858,D & P LANDSCAPING INC,D,-,D
4837,ARBOR CYCLE LANDSCAPE LLC,D,-,D
3823,ANDERSON LANDSCAPING,D,-,D
7764,OLSEN LANDSCAPE SERVICES INC,D,-,D
9645,GOLDEN CONSTRUTION SERVICES INC,D,-,D
4009,CHAGRIN VALLEY NURSERIES INC,D,-,D
4934,DELAURO BROTHERS CONTRACTING INC,D,-,D
7567,ANGELOTTA LANDSCAPING INC,-,D,D
4308,TURF TAMERS PLUS LLC,D,-,D
729,BORDONAROS LANDSCAPE INC,D,-,D
4735,JASINTO INC DBA CASA FIESTA RESTAU,D,-,D
5135,J E DS LAWN CARE & SERVICES LLC,D,-,D
4518,STUBER LAND DESIGN INC,D,-,D
6760,PERFECTION LAWN & LANDSCAPING LLC,D,-,D
9628,BALSAM SHOPS INC,-,D,D
2078,THOMS BROS LANDSCAPING INC,D,-,D
9102,VARSITY CATERING CO INC,-,D,D
6556,CAMPBELL STABLES LLC,D,-,D
1924,KIWI LANDSCAPING LLC,D,-,D
307,SPARKLE CLEANING & PAINTING,D,-,D
7645,BADGER EVERGREEN FARMS LLC,D,-,D
785,OLDHAM CONCESSIONS INC,-,D,D
7637,L JIREH INC DBA NANIBOUJOU LODGE,-,D,D
6509,LE BOCAGE LLC DBA THE STABLES AT L,-,D,D
7511,CREEKSIDE LLC,D,-,D
1094,PRO EQUITIES INC,-,D,D
4167,ALL N ONE OUTDOOR SOLUTIONS INC,D,-,D
3656,LAWN PRIDE DBA CLANCY BROS LANDSCA,D,-,D
299,ALFRESCO HOME,D,-,D
9142,BRONSONS SUPER VALU,D,-,D
7662,THEODORE ROOSEVELT MEDORA FDN,D,-,D
4893,LA PACHANGA INC,-,D,D
6000,JACKSON CONCRETE LLC,D,-,D
8465,T LANDSCAPING CORPORATION,D,-,D
8420,QUALITY SVC LAWN & LANDSCAPE LLC,D,-,D
6321,COCO AVIATION LLC,D,-,D
3070,SUGAR RUN NURSERY LLC,D,-,D
5298,MK LANDSCAPING LLC,D,-,D
9199,DEVILLES FENCING LLC,D,-,D
2604,KATHRYNS FLOWER GARDENS,D,-,D
5314,JAT RESTAURANT LLC DBA DON TEQUILA,D,-,D
765,RIDGE LLC,-,D,D
5897,ALPHA LAWN CARE,D,-,D
9496,AGUILAR CONSTRUCTION LLC,-,D,D
3554,BRADY LAWN & LANDSCAPE LLC,D,-,D
6977,PAINESVILLE ASPHALT & SEAL COATING,D,-,D
7948,KEVIN DONALDSON DBA ON DEMAND SPRI,D,-,D
3606,LEOPOLD INVESTMENTS,D,-,D
8875,MARGINAL WAY HOUSE INC,D,-,D
8056,TEMPO DULU LLC DBA DANFORTH INN,-,D,D
4468,INN BUSINESS LLC,-,D,D
4785,STARS HOLLOW FARM LLC,D,-,D
4665,LARA UNDERGROUND LLC,-,D,D
8500,BLUE VALLEY SOD OF WINNEBAGO INC,-,D,D
5054,WOOFTER CONSTRUCTION & IRRIGATION,D,-,D
2448,DOLLES CANDYLAND INC DBA DOLLES CA,-,D,D
9100,NEW LEAF LANDSCAPE CONSTRUCTION,D,-,D
9925,KEN MATTHEWS LANDSCAPE NURSERY CO,D,-,D
4946,HIGHLAND FALLS COUNTRY CLUB INC,D,-,D
846,KIESNER TRAINING,-,D,D
8963,CARSON SPRINGS WILDLIFE CONSERVATI,D,-,D
8990,PHOENIX LANDSCAPE GROUP LTD,-,D,D
4857,SCOTTSDALE FARMS INC,D,-,D
8747,J & B SALES AND SERVICES INC,-,D,D
4453,GEDDES POOLS INC,D,-,D
6735,CRASES LAWN CARE,D,-,D
2357,EAGLE CREEK GOLF & COUNTRY CLUB IN,D,-,D
5023,HERITAGE PALMS GOLF & COUNTRY CLUB,D,-,D
7195,THREE RIVER FARM SUPPLY INC,D,-,D
3900,STARNES-PARKER INSTALLATIONS INC,D,-,D
1218,VINCENT FLYING SERVICE INC,D,-,D
8321,CRAWFISH MAGIC INC DBA LOUISIANA C,D,-,D
8087,U K A G INC,-,D,D
6761,DIAMOND T TRAILER MANUFACTURING CO,D,-,D
4971,MANTEO SHRIMP CO INC,-,D,D
5869,SIGMA F INC,D,-,D
5101,WILLIS C RAGSDALE DBA BEAUTYSCAPE,D,-,D
775,DOUBLE D STATUARY INC,D,-,D
3002,GREEN THUMB LAWN CARE,D,-,D
9724,CLIP LAWN CARE LLC DBA CLIP LAWN C,-,D,D
9929,CARSON LANDSCAPING INC,D,-,D
1031,METRO LANDSCAPE MAINTENANCE INC,D,-,D
3734,GREG THOMPSON LANDSCAPE INC,-,D,D
9222,ERICH WYNN,D,-,D
8434,I W L OF ACTON INC,D,-,D
4567,GILLESPIE LUMBER LTD,D,-,D
6176,BIRMINGHAM ES LEASING LLC DBA EMBA,D,-,D
3299,DIGGING IN THE DIRT LLC,D,-,D
5932,PROGRESSIVE INTEREST INC DBA PROGR,D,-,D
5877,HOUSTON OAKS VENTURE LP,D,-,D
7952,SCENIC SCAPES LLC,D,-,D
3079,COMPLETE LAWN CARE INC,D,-,D
9198,BELLA TERRA LLC DBA BELL TERRRA OU,D,-,D
5721,ROCKET MOTEL,D,-,D
8641,HEFLIN FENCING,D,-,D
6452,GREENTEX LANDSCAPING,D,-,D
3175,ALFREDO LAWN SERVICE LLC,D,-,D
5803,WILLIAM BARRY LANDSCAPING LLC,D,-,D
9987,ARROYO ROOFING LLC,D,-,D
4509,EAST RIDGE LANDSCAPING CO INC,D,-,D
1172,J N S LANDSCAPES INC,D,-,D
5416,VISTA LANDSCAPES,-,D,D
3065,AMJ BUILDING MAINTENANCE,-,D,D
6961,MOUNTAIN HIGH TREE SERVICE INC,D,-,D
6520,GL COOK CONCRETE INC,D,-,D
5854,METRO LANDSCAPING INC,D,-,D
7321,DAKOTA DIRECTIONAL LLC,D,-,D
1683,SIMONS PROPERTY MAINTENANCE INC,-,D,D
1937,GREEN VALLEY NURSERY LLC,D,-,D
5187,OUACHITA LANDSCAPE MANAGEMENT LLC,D,-,D
6112,DREAM LAWN SOLUTIONS LLC,D,-,D
6137,BAYLEYS LOBSTER POUND,D,-,D
