,,,,,,,,,,,,,,,,,,,
,Petitioner Location,,,Petitions by State and Company,,,,,,,,,,,,,,,
,,,,Petitions by U.S. Employer and U.S. Agent1,,,,,,,,,,,,,,,
,,,,Petitions Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,
,Total,,,"1,268","1,580",21,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Petitions by State6,,,,,,,,,,,,,,,,,,
,,,ERNIE FERGUSON DBA FERGUSON FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,EUGENE WRIGHT & SONS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,FARMERS TOBACCO, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,FOUR WINDY HILL FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,FROGUE FARMS, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,FURNWOOD FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,FUTRELL & FUTRELL FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,G & G TOBACCO ASSOCIATION, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,GALEN EIDSON DBA EIDSON FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,GARY D JONES DBA JONES FARM, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,GDC LABOR POOL, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,GRADDY PREWITT DBA HIGHLAND PLACE, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,HAYDEN BROWN LEAF LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,HEAD FARMS LLC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,HERNDON & MCCLARD ASSOC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,HHR LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,HINTON ENTERPRISES LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,HOBBS FARM LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,HOLLIDAY TOBACCO INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,HOLLOWAY GRAIN & TOBACCO, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,HUTCH N SONS FARMS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,INSCOE FARMS, 1 , 2 , -   , -   ,,,,,,,,,,,,
,,,J & A FARMS LLC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,J & M FARMS ASSOC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,J AND J FARMS OF HENRY COUNTY LLC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,J B FARMS, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,JACK GANT FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,JACKIE CARSON FARMS, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,JAMES E ADAMS DBA ADAMS FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,JAMES LEE WILSON, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,JAY HOUSDEN DBA HOUSDEN FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,JB&K ASSOCIATION, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,JEFF BARNES FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,JEFF MOORE DBA JEFF MOORE FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,JEFFERSON S FARM LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,JESSE & SHELBY EMMICK PARTNERSHIP, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,JOE DAN TAYLOR FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,JOEY CRITCHELOW DBA CRITCHELOW, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,JONES / KEY, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,JPD TOBACCO LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,JTW FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,KDWLD FARMS, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,KEITH GIPSON DBA GIPSON FARMS, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,KENTUCKY GROWERS ACCOCIATION LLC A, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,KIMBRO FARMS LLC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,KIRKS FARM INC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,KNOTT FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,KUEGEL TAX AND ACCOUNTING INC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,KWJ LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,L & H FARMS LLC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,L M & M ASSOCIATION, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,LONG JACKSON LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,LP CLARK FARMS, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,LYONS FAMILY FARM LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,M & C FARMING LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,M & M FARMS ASSOCIATION, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,M M & E FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,MACKEY ENTERPRISES LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,MARK CUNNINGHAM FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,MAS ASSOCIATION, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,MAUPIN FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,MICHAEL BROWN DBA MEADOWVIEW FARMS, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,MILLERS & SONS TOBACCO LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,N&A THOMAS FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
